source_folder,source_file,family,system_label,refrigerant,pi1,pi2,pi3,pi4,pi5,m_flow_g_s,m_flow_kg_s,Pin_Pa,Pout_Pa,deltaP_Pa,subcooling_K,Tin_K,rho_in_kg_m3,pcrit_Pa,tcrit_K,Aref_m2,Cd_true,dataset_sha256
newdata2,fixed_data_simple_35_R1270_4.pkl,35_R1270_4,simple,R1270,0.18121465186779637,0.014138071702590007,1.7036126186689649,2.170601172627607e-06,2.8818974494934086,17834.232368469235,17.834232368469234,1467263.18359375,641830.4443359375,825432.7392578125,5.14924123287201,302.93892889050665,498.4781006890846,4555000.0,364.211,2.544690049407732e-06,244.30966296640807,1eeefe8f570324ab4bd110a250200c2069b60cfecfdea9e10e379a90944341ad
Daten LOGIN,fixed_data_simple_35_R1270_R600a_92_8.pkl,35_R1270_R600a_92_8,simple,R1270_R600a_92_8,0.2126567650582988,0.008829109271367187,1.746849995514419,2.6657121744395665e-06,1.4249165058135993,8000.412330627442,8.000412330627443,1293845.21484375,298468.01757812506,995377.197265625,3.2857947492599493,302.9638764667828,506.58250963916726,4680674.969323206,372.1547268551524,2.544690049407732e-06,99.00190281708315,b39a6275571a45a5f8ee859e8f965b04d026914139968de4d0e96f8c9e3a0441
Daten LOGIN,fixed_data_simple_35_R1270_R600a_92_8.pkl,35_R1270_R600a_92_8,simple,R1270_R600a_92_8,0.19679767151013805,0.009953092059294628,1.740714759389011,2.6331605673791017e-06,1.7881408929824818,10471.932106018048,10.471932106018048,1302568.359375,381422.42431640625,921145.9350585938,3.7040902566909786,302.83072140649034,506.8515601426023,4680674.969323206,372.1547268551524,2.544690049407732e-06,134.67045103274677,b39a6275571a45a5f8ee859e8f965b04d026914139968de4d0e96f8c9e3a0441
Daten LOGIN,fixed_data_simple_35_R1270_R600a_92_8.pkl,35_R1270_R600a_92_8,simple,R1270_R600a_92_8,0.17500174378840097,0.010465335253760873,1.7315961365655588,2.585081985484829e-06,2.300628423690799,13833.856964111326,13.833856964111327,1315712.890625,496586.60888671875,819126.2817382812,3.8947239828109743,303.0671550568319,506.4732389827997,4680674.969323206,372.1547268551524,2.544690049407732e-06,188.72946541721703,b39a6275571a45a5f8ee859e8f965b04d026914139968de4d0e96f8c9e3a0441
Daten LOGIN,fixed_data_simple_35_R290.pkl,35_R290,simple,R290,0.21187247842337162,0.013628732536427506,1.7791292117944173,2.6923446817508085e-06,1.61864709854126,8627.042694091797,8.627042694091797,1210773.92578125,310061.6455078126,900712.2802734374,5.04113187789917,302.8633562728779,485.3383461088391,4251200.0,369.89,2.544690049407732e-06,114.65598060167233,936d7036dc66eac695c74c686911442cfacc3defd7c48f61326a9aa4788d4b0c
Daten LOGIN,fixed_data_simple_35_R290.pkl,35_R290,simple,R290,0.19518414699452508,0.014879965176917897,1.7646422352262563,2.6197204210567368e-06,2.0064928531646715,11263.668785095213,11.263668785095213,1228918.45703125,399151.61132812506,829766.845703125,5.503950319290161,303.02506417841875,485.125625676187,4251200.0,369.89,2.544690049407732e-06,156.00008497128823,936d7036dc66eac695c74c686911442cfacc3defd7c48f61326a9aa4788d4b0c
Daten LOGIN,fixed_data_simple_35_R290.pkl,35_R290,simple,R290,0.1710846857509534,0.016833367482173792,1.7487726683884426,2.5411142068523483e-06,2.741122007369998,15000.138254165653,15.000138254165654,1249311.5234375,521996.3073730469,727315.2160644531,6.226494297981263,302.99643981909725,485.2446453103828,4251200.0,369.89,2.544690049407732e-06,221.87259350609426,936d7036dc66eac695c74c686911442cfacc3defd7c48f61326a9aa4788d4b0c
Daten LOGIN,fixed_data_simple_35_R290_R600a_63_37.pkl,35_R290_R600a_63_37,simple,R290_R600a_63_37,0.15629495405659902,0.007206217042201385,1.9385294554745651,4.764691314741565e-06,1.1657948493957504,5387.254467010498,5.387254467010498,850678.7109375001,182579.0405273438,668099.6704101562,2.8024460983276356,302.51042566897695,511.705428123381,4274608.060399811,388.8928243370717,2.544690049407732e-06,80.9630685435353,9702c672a7eb7b0964bf05460feb05be4503b4ea42f412a890bfb6421bdcda3b
Daten LOGIN,fixed_data_simple_35_R290_R600a_63_37.pkl,35_R290_R600a_63_37,simple,R290_R600a_63_37,0.14572812155533157,0.007613875838439966,1.9339641218205845,4.7285678321643965e-06,1.4475101232528693,6945.614242553712,6.945614242553712,854633.7890625001,231703.1860351563,622930.6030273438,2.960981678962708,302.5404095384898,511.6716061452711,4274608.060399811,388.8928243370717,2.544690049407732e-06,108.10487457345754,9702c672a7eb7b0964bf05460feb05be4503b4ea42f412a890bfb6421bdcda3b
Daten LOGIN,fixed_data_simple_35_R290_R600a_63_37.pkl,35_R290_R600a_63_37,simple,R290_R600a_63_37,0.13030701428147323,0.007489587895553093,1.9233517463789684,4.645083454208351e-06,1.8836654424667396,9273.73861312866,9.27373861312866,863940.4296875,306929.01611328125,557011.4135742188,2.9126469898223877,303.02985849901074,510.9616967153757,4274608.060399811,388.8928243370717,2.544690049407732e-06,152.7491286990885,9702c672a7eb7b0964bf05460feb05be4503b4ea42f412a890bfb6421bdcda3b
