r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
8.736379742622375488e-01,8.400236368179321289e-01,2.997347116470336914e-01,8.078492283821105957e-01,1.685400009155273438e+01,1.636000061035156250e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.426949024200439453e+00,2.116048574447631836e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.479385733604431152e-01,7.965304851531982422e-01,5.500000000000000000e+03
8.736379742622375488e-01,8.472232818603515625e-01,3.318350017070770264e-01,8.239496350288391113e-01,1.614800071716308594e+01,1.523999977111816406e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.431731462478637695e+00,2.178017377853393555e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.912948131561279297e-01,7.073192596435546875e-01,6.000000000000000000e+03
8.736379742622375488e-01,8.364242315292358398e-01,3.203310668468475342e-01,8.031803965568542480e-01,1.636000061035156250e+01,1.588000011444091797e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.414732456207275391e+00,2.125342369079589844e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.744930386543273926e-01,7.534570693969726562e-01,6.500000000000000000e+03
8.736379742622375488e-01,8.480362892150878906e-01,3.293655514717102051e-01,8.268648386001586914e-01,1.658799934387207031e+01,1.715999984741210938e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.431272268295288086e+00,2.125162124633789062e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.019927144050598145e-01,8.992624282836914062e-01,7.000000000000000000e+03
8.736379742622375488e-01,8.448644280433654785e-01,3.319189250469207764e-01,8.155761361122131348e-01,1.640399932861328125e+01,1.568000030517578125e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.425938367843627930e+00,2.163105249404907227e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.854624390602111816e-01,7.223892211914062500e-01,7.500000000000000000e+03
8.736379742622375488e-01,8.582983016967773438e-01,3.194634020328521729e-01,8.212280273437500000e-01,1.647200012207031250e+01,1.739999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.429631948471069336e+00,2.152461290359497070e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.818573713302612305e-01,7.515094280242919922e-01,8.000000000000000000e+03
8.740874528884887695e-01,8.740874528884887695e-01,3.309046328067779541e-01,8.229035139083862305e-01,1.639200019836425781e+01,1.660000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.439059972763061523e+00,2.162874698638916016e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.009088635444641113e-01,7.699053287506103516e-01,8.500000000000000000e+03
8.740874528884887695e-01,8.465226292610168457e-01,3.158110082149505615e-01,8.264027237892150879e-01,1.622599983215332031e+01,1.644000053405761719e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.437778949737548828e+00,2.131128549575805664e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.011476397514343262e-01,6.267225742340087891e-01,9.000000000000000000e+03
8.740874528884887695e-01,8.472211360931396484e-01,3.259701132774353027e-01,8.302913904190063477e-01,1.615999984741210938e+01,1.500000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.420565366744995117e+00,2.173206329345703125e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.129876255989074707e-01,6.676204204559326172e-01,9.500000000000000000e+03
8.780906796455383301e-01,8.780906796455383301e-01,3.174621164798736572e-01,8.278752565383911133e-01,1.634399986267089844e+01,1.628000068664550781e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.421165704727172852e+00,2.133685588836669922e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.009186983108520508e-01,6.406655311584472656e-01,1.000000000000000000e+04
