r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,expression_named,expression_pretty,m_flow_formula
0.6700299216875193,1,0,x2*x5*(-x4 + (2*x1 + x5)/(x4*x5)),"mul,x5,mul,x2,sub,div,div,add,add,x5,x1,x1,x5,x4,x4",0.2425273517829747,0.2425273517829747,False,pi2*pi5*(-pi4 + (2*pi1 + pi5)/(pi4*pi5)),"      ⎛      2⋅π₁ + π₅⎞
π₂⋅π₅⋅⎜-π₄ + ─────────⎟
      ⎝        π₄⋅π₅  ⎠",Aref_m2 * (pi2*pi5*(-pi4 + (2*pi1 + pi5)/(pi4*pi5))) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700229351744244,1,0,x2*x5 - x4,"sub,mul,x2,x5,x4",0.2425426800772947,0.2425426800772947,False,pi2*pi5 - pi4,π₂⋅π₅ - π₄,Aref_m2 * (pi2*pi5 - pi4) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700188196813951,1,0,x5*(x2 - x4/x3),"mul,x5,sub,x2,div,x4,x3",0.2425517097773373,0.2425517097773373,False,pi5*(pi2 - pi4/pi3),"   ⎛     π₄⎞
π₅⋅⎜π₂ - ──⎟
   ⎝     π₃⎠",Aref_m2 * (pi5*(pi2 - pi4/pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700096785532685,1,0,x5*(x2 - x4),"mul,x5,sub,sub,add,x2,x3,x3,x4",0.2425717670954413,0.2425717670954413,False,pi5*(pi2 - pi4),π₅⋅(π₂ - π₄),Aref_m2 * (pi5*(pi2 - pi4)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700092165213645,1,0,(x2 - x4)*(-x4 + x5),"mul,sub,x2,x4,sub,add,x5,x3,add,x3,x4",0.2425727809150518,0.2425727809150518,False,(pi2 - pi4)*(-pi4 + pi5),(π₂ - π₄)⋅(-π₄ + π₅),Aref_m2 * ((pi2 - pi4)*(-pi4 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6699881960033531,1,0,(-x2 + 2*x4)*(x2**2*x4 - x5),"mul,sub,mul,x4,mul,x2,x2,x5,sub,x4,sub,x2,x4",0.2426189091843516,0.2426189091843516,False,(-pi2 + 2*pi4)*(pi2**2*pi4 - pi5),"             ⎛  2        ⎞
(-π₂ + 2⋅π₄)⋅⎝π₂ ⋅π₄ - π₅⎠",Aref_m2 * ((-pi2 + 2*pi4)*(pi2**2*pi4 - pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6698843254383953,1,0,x2*x5 - x4/x2,"sub,mul,x2,x5,div,add,x4,mul,sub,x5,x5,sub,x4,x2,x2",0.2428469538200431,0.2428469538200431,False,pi2*pi5 - pi4/pi2,"        π₄
π₂⋅π₅ - ──
        π₂",Aref_m2 * (pi2*pi5 - pi4/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6608378270206716,1,0,x2*(x1 - x2 + x5),"mul,sub,add,x5,x1,x2,x2",0.2634056154040114,0.2634056154040114,False,pi2*(pi1 - pi2 + pi5),π₂⋅(π₁ - π₂ + π₅),Aref_m2 * (pi2*(pi1 - pi2 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6601927547267815,1,0,(-x2 + 2*x4)*(x2 - x5),"mul,sub,x2,x5,sub,x4,sub,x2,x4",0.2649254991949169,0.2649254991949169,False,(-pi2 + 2*pi4)*(pi2 - pi5),(-π₂ + 2⋅π₄)⋅(π₂ - π₅),Aref_m2 * ((-pi2 + 2*pi4)*(pi2 - pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6560007974860711,1,0,x2*(x1 + x4 + x5) + x4,"add,x4,mul,add,add,x1,x5,x4,x2",0.274983184336574,0.274983184336574,False,pi2*(pi1 + pi4 + pi5) + pi4,π₂⋅(π₁ + π₄ + π₅) + π₄,Aref_m2 * (pi2*(pi1 + pi4 + pi5) + pi4) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.655996411633617,2,0,x2*(x1 + x5),"mul,x2,add,x5,x1",0.2749938732970373,0.2749938732970373,False,pi2*(pi1 + pi5),π₂⋅(π₁ + π₅),Aref_m2 * (pi2*(pi1 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.655322508350121,1,0,x2*x3*x5/(x2 + x3),"mul,x5,mul,div,x3,add,add,sub,x1,x1,x2,x3,x2",0.276640447007289,0.276640447007289,False,pi2*pi3*pi5/(pi2 + pi3),"π₂⋅π₃⋅π₅
────────
π₂ + π₃ ",Aref_m2 * (pi2*pi3*pi5/(pi2 + pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6535022852413835,1,0,x2*(x5 + (x1 + x2)/x3),"div,x5,div,x5,mul,add,div,add,x1,x2,x3,x5,x2",0.2811295698712016,0.2811295698712016,False,pi2*(pi5 + (pi1 + pi2)/pi3),"   ⎛     π₁ + π₂⎞
π₂⋅⎜π₅ + ───────⎟
   ⎝        π₃  ⎠",Aref_m2 * (pi2*(pi5 + (pi1 + pi2)/pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.651998677994171,1,0,-x2 + x2*x5/(x1*x3**2),"sub,div,x2,mul,mul,div,x3,x5,div,x1,div,x4,x4,x3,x2",0.2848841959330399,0.2848841959330399,False,-pi2 + pi2*pi5/(pi1*pi3**2),"      π₂⋅π₅ 
-π₂ + ──────
           2
      π₁⋅π₃ ",Aref_m2 * (-pi2 + pi2*pi5/(pi1*pi3**2)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6505908107684067,1,0,x2*(-x1*(x1 - x2) - x2 + x5),"mul,x2,sub,sub,x5,x2,mul,sub,x1,x2,x1",0.2884382123445259,0.2884382123445259,False,pi2*(-pi1*(pi1 - pi2) - pi2 + pi5),π₂⋅(-π₁⋅(π₁ - π₂) - π₂ + π₅),Aref_m2 * (pi2*(-pi1*(pi1 - pi2) - pi2 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6369641838914595,1,0,x2*x3*(2*x1 + (-x1 + x5)/x3),"mul,x2,mul,add,x1,add,mul,div,div,sub,x5,x1,x3,x1,x1,x1,x3",0.3248395656150583,0.3248395656150583,False,pi2*pi3*(2*pi1 + (-pi1 + pi5)/pi3),"      ⎛       -π₁ + π₅⎞
π₂⋅π₃⋅⎜2⋅π₁ + ────────⎟
      ⎝          π₃   ⎠",Aref_m2 * (pi2*pi3*(2*pi1 + (-pi1 + pi5)/pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
